message_shortname,image,direct_to_nurse,english,hindi,hindi_male,hindi_female,Hindi Translations 
1_menu,,,"Here's a list of things I can provide information on in the coming weeks. Please enter the number of the topic you want information on:
1) Breastfeeding techniques 👶🏽
2) Child’s activity levels 💪
3) Initiation of complementary feeding 
4) Some recipes for complementary feeding 
5) Talk to you about the AWW [AWW name]'s services and the role she plays in the growth of your child 👩🏽
6) Discuss sanitation and hygiene of your child including teething 💧
7) Commonly occurring diseases in infants and young children
8) Talk about feeding techniques for your child
9) Nutrition for lactating mothers 
10) Talk about growth monitoring of your child ","यहां उन चीजों की एक सूची दी गई है जिन पर मैं जानकारी प्रदान कर सकती हूं। कृपया उस विषय की संख्या दर्ज करें/दबाएं जिस पर आप जानकारी चाहते हैं:
1) स्तनपान के तरीके 👶🏽
2) बच्चे की गतिविधि का स्तर 💪
3) ऊपरी आहार की शुरूआत
4) ऊपरी आहार के लिए कुछ व्यंजनों
5) आपसे आंगनवाड़ी कार्यकर्ता [AWW नाम] की सेवाओं और आपके बच्चे के विकास में उनकी भूमिका  के बारे में बात कर सकते हैं  👩🏽
6) आपके बच्चे की स्वच्छता एवं साफ़-सफाई  💧
7) शिशुओं और छोटे बच्चों में सामान्य रूप से होने वाली बीमारियाँ
8) बच्चे को खिलाने की तकनीक के बारे में बात करें 
9)स्तनपान कराने वाली माताओं के लिए पोषण
10) बच्चे की वृद्धि की निगरानी के बारे में बात करें 
",,,
1_1_cbf,,,"Let’s talk about breastfeeding today! I can provide you information on these topics. Please enter the number of the topic you want information on:
1) Importance of breastfeeding along with complementary feeding 
2) Various positions of breastfeeding
3) Pictures that show the various positions of breastfeeding
4) Good attachment and poor attachment of child during breastfeeding with a picture
5) Frequency of breastfeeding
6) Q/A on breastfeeding practices
7) Baby vomiting out milk after breastfeeding
8) Other questions on breastfeeding
","चलिए आज स्तनपान के बारे में बात करते हैं! मैं आपको इन विषयों पर जानकारी प्रदान कर सकता हूं। कृपया उस विषय की संख्या दर्ज करें जिस पर आप जानकारी चाहते हैं।
1) स्तनपान का महत्व
2) स्तनपान के विभिन्न अवस्थाएं 
3) चित्र जो स्तनपान के विभिन्न अवस्थाएं को दर्शाते हैं
4) स्तनपान के दौरान बच्चे का अच्छा लगाव और खराब लगाव एक तस्वीर के माध्यम से 
5) स्तनपान कितनी बार कराएं 
6) स्तनपान प्रथाओं पर सवाल और जवाब/प्रश्नोत्तरी
7) स्तनपान के बाद बच्चे को दूध की उल्टी
8) स्तनपान पर अन्य प्रश्न ",,,
1_1_1_imp,,,"Breastfeeding is really important for [child name]'s growth and development. Infants and young children should continue breastfeeding until they are 24 months old. After the first 6 months of the child growth the frequency of breastfeeding can be reduced, however, it should not be stopped because from age 6 upto 12 months, breast-milk provides half of the child’s nutritional needs. From 12 months upto 2 years, it continues to provide one-third of the child’s nutritional needs.
","स्तनपान [child name] की वृद्धि और विकास के लिए वास्तव में महत्वपूर्ण है। शिशुओं और छोटे बच्चों को 24 महीने की उम्र तक स्तनपान जारी रखना चाहिए। बच्चे के पहले 6 महीने के बाद स्तनपान की आवृत्ति कम हो सकती है, हालांकि, यह रोका नहीं जाना चाहिए क्योंकि 6 से 12 महीने की उम्र तक स्तनपान बच्चे की पोषण संबंधी जरूरतों का आधा हिस्सा प्रदान करता है। 12 महीने से 2 साल तक, यह बच्चे की पोषण संबंधी जरूरतों का एक तिहाई हिस्सा प्रदान करता है।",,,
1_1_2_pos,,,"The position of the mother is very important when they are breastfeeding. There are different methods of breastfeeding such as the underarm, using the opposite arm and mother in the lying down position. It is really important for the mother to be comfortable while breastfeeding. How about you try these tips? I can check in with you tomorrow to see how it went and answer any questions you might have. ","आपकी जानकारी के लिए बता दूँ की  माँ की शारीरिक मुद्रा बहुत ही महत्वपूर्ण होती है।  स्तनपान के कई तरीके हैं - जैसे बाजू के नीचे रखकर,  हाथ में शिशु को रखकर, दूसरे हाथ से स्तनपान करवाना और माँ का  खुद लेटकर स्तनपान कराना। स्तनपान कराते समय माँ का आरामदायक मुद्रा में होना उसके लिए वास्तव में बहुत ही महत्वपूर्ण है। आज रात आप किस तरह इन टिप्सों को उपयोग में लाएंगे? यह कितना सफल रहा इसके लिए मैं कल आपके और बात चीत कर सकती हूँ और यदि आपके कोई प्रश्न हुए तो उनका जवाब भी दूँगी।",,,
1_1_3_pic_a,bf_p1.png,,Underarm position! ,बाजू के नीचे रखकर स्थिति!,,,
1_1_3_pic_b,bf_p2.png,,Use the opposite arm position! ,विपरीत हाथ की स्थिति का उपयोग करना!,,,
1_1_3_pic_c,bf_p3.png,,Mother in lying down position!,लेटने की स्थिति में माँ!,,,
1_1_4_att,bf_attachment.png,,"--> your baby takes the whole nipple and a large amount of the areola into his mouth, more towards his chin than his nose
--> your baby’s chin is pressed into your breast and his nose is clear or just touching your breast
--> your baby’s lips are turned out over your breast (not sucked in)
Signs of good attachment include deep and regular sucking, no breast pain or nipple damage, and well-drained breasts.","-> आपका बच्चा पूरे निप्पल और बड़ी मात्रा में इसोला/स्तन के काले घेरे, को अपने मुंह में लेता है, जो उसकी नाक से ज्यादा ठुड्डी की तरफ होता है
-> आपके बच्चे की ठुड्डी/ठोड़ी आपके स्तन से एकदम लगी हुई है उसकी नाक स्वतंत्र (स्तन ना छू रही हो) है या सिर्फ आपके स्तन को छूती है
-> आपके बच्चे के होंठ आपके स्तन से को पूरी तरह अंदर ले रहे हो (चूसा नहीं गया है)
अच्छे तरह से स्तन का संपर्क होने के संकेतों में गहरे और नियमित रूप से चूसना, कोई स्तन दर्द या निप्पल को नुकसान नहीं होता है, और अच्छी तरह से सूखा हुआ स्तन जिसमे से पूरा दूध पी लिए गया हो शामिल हैं।",,,
1_1_5_fre,,,"Breastmilk also continues to protect the child from many illnesses, and helps the child grow. Therefore, a mother should continue to breastfeed as often as the child wants.
","माँ का दूध बच्चे को कई बीमारियों से बचाता है, और बच्चे को बढ़ने में मदद करता है। इसलिए, एक माँ को बच्चे को जितनी बार बच्चा चाहें उतनी बार स्तनपान कराना जारी रखना चाहिए।",,,
1_1_6_qa_suckslowly,,,"Does the infant suck slowly? 
Type 1 for yes and 2 for no.","क्या शिशु धीरे-धीरे चूसता है?
1) हाँ
2) नहीं ",,,
