message_shortname,image,direct_to_nurse,english,hindi,hindi_male,hindi_female
1_menu,,,"Here's a list of things I can provide information on in the coming weeks. Please enter the number of the topic you want information on:
1) Kangaroo mother care or skin to skin touch 👶🏽
2) Child’s activity levels 💪
3) Exclusive breastfeeding  🤱🏽
4) Talk to you about the AWW [AWW name]'s services and the role she plays in the growth of your child 👩🏽
5) Discuss sanitation and hygiene of your child 💧
6) Talk about growth monitoring of your child
7) Talk about feeding techniques for your child
8) Nutrition for lactating mothers 
9) Commonly occurring diseases in infants and young children ","यहां उन चीजों की एक सूची दी गई है जिन पर मैं जानकारी प्रदान कर सकती हूं। कृपया उस विषय की संख्या दर्ज करें/दबाएं जिस पर आप जानकारी चाहते हैं:
1) कंगारू मदर केयर या त्वचा से त्वचा का संपर्क 👶🏽
2) बच्चे की गतिविधि का स्तर 💪
3) केवल स्तनपान 🤱🏽
4) आपसे आंगनवाड़ी कार्यकर्ता [AWW नाम] की सेवाओं और आपके बच्चे के विकास में उनकी भूमिका के बारे में बात कर सकते हैं 👩🏽
5) आपके बच्चे की स्वच्छता एवं साफ़-सफाई 💧
6) बच्चे की वृद्धि की निगरानी के बारे में बात करें
7) बच्चे को खिलाने की तकनीक के बारे में बात करें
8) स्तनपान कराने वाली माताओं के लिए पोषण
9) शिशुओं और छोटे बच्चों में सामान्य रूप से होने वाली बीमारियाँ
",,
1_1_kmm,,,"You can know the following things about Kangaroo mother care. It is also known as skin to skin contact with [child name]! Please enter the number of the topic you want information on:

1) What is skin to skin contact 
2) How can you practice skin to skin contact
3) Example of pictures practicing skin to skin contact 
4) Any other question on skin to skin contact?
","कंगारू मदर केयर के बारे में आप निम्न बातें जान सकते हैं। इसे [child name] के साथ त्वचा से त्वचा के संपर्क के रूप में भी जाना जाता है! कृपया उस विषय की संख्या दर्ज करें जिस पर आप जानकारी चाहते हैं:

1) त्वचा से त्वचा का संपर्क क्या है
2) आप  त्वचा से त्वचा के संपर्क का अभ्यास कैसे कर सकती हैं 
3)  त्वचा से त्वचा के  संपर्क का  अभ्यास करने के लिए चित्रों का उदाहरण 
4) त्वचा से त्वचा के संपर्क पर कोई अन्य प्रश्न?",,
1_1_1_def,,,"Skin to skin contact also known as kangaroo mother care is a technique of newborn care where babies are held chest-to-chest and skin-to-skin with a parent, typically their mother. Skin-to-skin contact is really good for the health of your baby, so you may want to try it in the future. 

I recommend that you spend at least one hour giving your baby skin-to-skin contact every day.","कंगारू मदर केयर को त्वचा से त्वचा के संपर्क के रूप में भी जाना जाता है, ये नवजात शिशु की देखभाल की एक तकनीक है जहाँ शिशुओं को उनके माता-पिता, आमतौर पर उनकी माँ, छाती से छाती या अपनी त्वचा से उनकी त्वचा को संपर्क में रखते हैं। त्वचा से त्वचा का संपर्क वास्तव में आपके बच्चे के स्वास्थ्य के लिए अच्छा है, इसलिए आपको इसे भविष्य में आजमाना चाहिए। 

मेरा सुझाव है कि आप हर दिन कम से कम एक घंटा अपने बच्चे को त्वचा से त्वचा के संपर्क देने में बिताएं.",,
1_1_2_prac,,,"For skin-to-skin contact, you and [child name] can spend quality time together on a daily basis. In fact, you can move around as you normally do while giving your child skin-to-skin contact.
     -->To get started, [child name] should be naked and your chest area should be bare. Rest [child name] upright on your chest so your skin is touching their face, chest, stomach, and arms. Their head should be turned to one side with their legs in a bent position. 
     -->Then, using a long piece of cloth, wrap [child name] against your chest so they are securely attached to your chest and won't move when you stand up. You can then wear your clothes over the cloth as normal. 
     -->You can stay in this position while you move around throughout the day and while sleeping at night. You only need to remove the child to change their diaper or give them a bath.                                                                                              
","त्वचा से त्वचा के सम्पर्क के जरिये आप और [child name] रोज एक साथ अच्छा समय बीता सकते है। आप यह करते हुए अपने बाकी कार्यों को आम तरीके से करना भी जारी रख सकती हैं । 
     → शुरू करने से पहले[child name] नंगा होना चाहिए और आपकी छाती का क्षेत्र भी खुला होना चाहिए। [child name] को अपनी छाती पर सीधा रखें ताकि आपकी त्वचा उसके चेहरे, छाती, पेट और हाथों को छू सके। उसका सिर उसी तरफ होना चाहिए जिस तरफ उसके पैर मुड़े हुए हो। 
     → फिर, कपड़े का एक बड़ा सा टुकड़ा ले और [child name] के साथ उसको अपनी छाती से लपेट लें ताकि बच्चा अपनी जगह से हिल डुल ना सके और आपकी छाती से अच्छी तरह से लग जाये और आप आसानी से खड़ी हो जाये। उसके बाद आप उस कपडे के ऊपर अपने कपड़े पहन सकती हैं। 
    → आप इस दशा में पूरा दिन आराम से घूम- फिर सकती है और रात को सो भी सकती है। सिर्फ बच्चे के डायपर बदलने और उसको नहलाने के लिए आपको उसे अपने से अलग करना होगा। 

  
  ---> वे शिशु जो पूर्ण अवधि गर्भावस्था (समय से पहले) या जन्म के समय कम वजन वाले पैदा होते हैं, उनमें शरीर के तापमान को बनाए रखने की क्षमता नहीं होती है, इसलिए kmc या त्वचा से त्वचा के संपर्क की मदद से हम उन्हें अपने शरीर को गर्मी प्रदान कर सकते हैं। । साथ ही अगर आपके बच्चे का वजन सामान्य है तो यह शिशुओं की तेज वृद्धि में मदद करता है और उनकी पोषण स्थिति के लिए फायदेमंद साबित हो सकता है।",,
1_1_3_pic,skintoskin.jpeg,,Here's a picture of a mother practicing skin to skin contact!,त्वचा से त्वचा के संपर्क का अभ्यास करती  हुई यहां एक माँ की तस्वीर है!,,
1_1_4_ques,,yes,Pease tell me what question do you have on kangaroo mother care?,आपके पास  त्वचा से संपर्क से सम्बंधित क्या प्रश्न है कृपया मुझे बताएं? ,,
1_2_act,,,"❔ Is [child name] active when they're awake?
Type 1 for yes and 2 for no.","❔ क्या [child name] फुर्तीला/क्रियाशील है जब वे जाग रहे हैं?
दबाएँ:
1) हाँ
2) नही","❔ क्या [child name] सक्रिय/क्रियाशील है जब  वह जाग रहा  हैं?
दबाएँ:
1) हाँ
2) नही","❔ क्या [child name] सक्रिय/क्रियाशील है जब  वह जाग रही हैं?
दबाएँ:
1) हाँ
2) नही"
1_2_1_yes,,,"It's great to hear that [child name] is active. This is a sign of a healthy baby 👶🏽😊! If you start to notice any changes in [child name]'s activity, pay careful attention to their diet and hygiene to make sure they are getting the nutrients they need. ","यह सुनकर बहुत अच्छा लगा कि [child name] फुर्तीला/क्रियाशील है। यह एक स्वस्थ बच्चे का संकेत है 👶🏽😊! अगर आपको [child name] की गतिविधि में कोई बदलाव नज़र आने लगे, तो अपने आहार और स्वच्छता पर ध्यान दें और सुनिश्चित करें कि उन्हें वे पोषक तत्व मिल रहे हैं जिनकी उन्हें ज़रूरत है।",,
1_2_2_no,,,"This can be a danger sign if [child name] is too inactive. If you think something is very wrong with him/her, you may want to contact AWW [AWW name]. Here’s her number, in case you don’t have it: [AWW phone number]. 
→ In the meantime, you can pay careful attention to [child name]'s diet and hygiene to make sure they are getting the nutrients they need.","यह एक खतरे का संकेत हो सकता है अगर[ child name]बहुत निष्क्रिय है। यदि आपको लगता है कि उसके साथ कुछ गलत है, तो आप आंगनवाड़ी कार्यकर्ता  [AWW नाम] से संपर्क कर  सकते हैं। यहाँ उसका नंबर है: [AWW फोन नंबर], अगर आपके पास नहीं है। ।
→ इस बीच, आप [child name] के आहार और स्वच्छता पर ध्यान दे सकते हैं ताकि यह सुनिश्चित किया जा सके कि उन्हें वे पोषक तत्व मिल रहे हैं जो उसे चाहिए। ",,
1_3_ebf,,,"Let’s talk about breastfeeding today! I can provide you information on these topics. Please enter the number of the topic you want information on:
1) What is exclusive breastfeeding 
2) Importance of breastfeeding 
3) Various positions of breastfeeding 
4) Pictures that show the various positions of breastfeeding
5) Good attachment and poor attachment of child during breastfeeding with a picture
6) Frequency of breastfeeding
7) Q/A on breastfeeding practices
8) Baby vomiting out milk after breastfeeding
9) Other questions on breastfeeding","चलिए आज स्तनपान के बारे में बात करते हैं! मैं आपको इन विषयों पर जानकारी प्रदान कर सकता हूं। कृपया उस विषय की संख्या दर्ज करें जिस पर आप जानकारी चाहते हैं।
1) केवल स्तनपान क्या है
2) स्तनपान का महत्व
3) स्तनपान के विभिन्न अवस्थाएं 
4) चित्र जो स्तनपान के विभिन्न अवस्थाएं को दर्शाते हैं
5) स्तनपान के दौरान बच्चे का स्तन से अच्छा लगाव और खराब लगाव एक तस्वीर के माध्यम से 
6) स्तनपान कितनी बार कराएं 
7) स्तनपान प्रथाओं पर सवाल और जवाब/प्रश्नोत्तरी
8) स्तनपान के बाद बच्चे को दूध की उल्टी
9) स्तनपान पर अन्य प्रश्न ",,
