message_shortname,image,english,english revised,hindi
1_menu,,"Here's a list of some things I can provide you information on. Press the desired number of the topic you want information on:
1) Kangaroo mother care 👶🏽
2)  Child’s activity levels 💪
3)  Exclusive breastfeeding  🤱🏽 
4) Talk with you about your last meeting with [AWW name] 👩🏽
5) Discuss sanitation and hygiene of your child 💧
6) Talk about growth monitoring of your child
7) Talk about feeding techniques for your child","Here's a list of things I can provide information on. Please enter the number of the topic you want information on:
1) Kangaroo mother care 👶🏽
2) Child’s activity levels 💪
3)  Exclusive breastfeeding  🤱🏽 
4) Talk with you about your last meeting with [AWW name] 👩🏽
5) Discuss sanitation and hygiene of your child 💧
6) Talk about growth monitoring of your child
7) Talk about feeding techniques for your child",
1_1_kmm,,"Let’s talk about skin to skin contact with [child’s name]! Please select which of the following would you first like to talk about?

1) definition of skin to skin contact/what is skin to skin contact 
2) steps/how to practice skin to skin contact
3) pictures of mothers practicing skin to skin contact 
4) something else about skin to skin contact (more questions)?
","You can know the following things about Kangaroo mother care. It is also known as skin to skin contact with [child’s name]! Please enter the number of the topic you want information on:

1) What is skin to skin contact 
2) How can I practice skin to skin contact
3) Example of pictures practicing skin to skin contact 
4) Any other question on skin to skin contact?
",
1_1_1_def,,"Skin to skin contact also known as kangaroo mother care is a technique of newborn care where babies are kept chest-to-chest and skin-to-skin with a parent, typically their mother. Skin-to-skin contact is really good for the health of your baby, so you may want to try it in the future. I recommend that you spend at least one hour giving your baby skin-to-skin contact every day.","Skin to skin contact also known as kangaroo mother care is a technique of newborn care where babies are held chest-to-chest and skin-to-skin with a parent, typically their mother. Skin-to-skin contact is really good for the health of your baby, so you may want to try it in the future. 

I recommend that you spend at least one hour giving your baby skin-to-skin contact every day.",
1_1_2_prac,,"For skin-to-skin contact, you and [child name] can spend quality time together on a daily basis. In fact, you can move around as you normally do while giving your child skin-to-skin contact. 
     -->To get started, [child name] should be naked and your chest area should be bare. Rest [child name] upright on your chest so your skin is touching their face, chest, stomach, and arms. Their head should be turned to one side with their legs in a bent position. 
     -->Then, using a long piece of cloth, wrap [child name] against your chest so they are securely attached to your chest and won't move when you stand up. You can then wear your clothes over the cloth as normal. 
     -->You can stay in this position while you move around throughout the day and while sleeping at night. You only need to remove the child to change their diaper or give them a bath.","
     -->To get started, [child name] should be naked and your chest area should be bare. Rest [child name] upright on your chest so your skin is touching their face, chest, stomach, and arms. Their head should be turned to one side with their legs in a bent position. 
     -->Then, using a long piece of cloth, wrap [child name] against your chest so they are securely attached to your chest and won't move when you stand up. You can then wear your clothes over the cloth as normal. 
     -->You can stay in this position while you move around throughout the day and while sleeping at night. You only need to remove the child to change their diaper or give them a bath.",
1_1_3_pic,skintoskin.jpeg,Here's a picture of a mother practicing skin to skin contact!,Here's a picture of a mother practicing skin to skin contact!,
1_1_4_ques,,<redirect to the nurse>,<redirect to the nurse>,
1_2_act,,"❔ Is [child name] active when they're awake?
Press: 
1) Yes
2) No","❔ Is [child name] active when they're awake?
Press: 
1) Yes
2) No",
1_2_1_yes,,"It's great to hear that [child name] is active. This is a sign of a healthy baby 👶🏽😊! If you start to notice any changes in [child name]'s activity, pay careful attention to their diet and hygiene to make sure they are getting the nutrients they need. The next time we talk I can share some tips about [child name]'s diet that can help him/her stay healthy and active 😊.","It's great to hear that [child name] is active. This is a sign of a healthy baby 👶🏽😊! If you start to notice any changes in [child name]'s activity, pay careful attention to their diet and hygiene to make sure they are getting the nutrients they need. ",
1_2_2_no,,"This can be a danger sign if [child name] is too inactive. If you think something is very wrong with him/her, you may want to contact [AWW name]. Here’s her number, in case you don’t have it: [AWW phone number]. 
→ In the meantime, you can pay careful attention to [child name]'s diet and hygiene to make sure they are getting the nutrients they need. The next time we talk I can share some tips about [child name]'s diet that can help him/her stay healthy and active 😊.","This can be a danger sign if [child name] is too inactive. If you think something is very wrong with him/her, you may want to contact [AWW name]. Here’s her number, in case you don’t have it: [AWW phone number]. 
→ In the meantime, you can pay careful attention to [child name]'s diet and hygiene to make sure they are getting the nutrients they need.",
1_3_ebf,,"Let’s talk about breastfeeding today! The various kinds of information I can provide you on the same are:
1) What is exclusive breastfeeding 
2) Importance of breastfeeding 
3) Various positions of breastfeeding 
4) Pictures to show the various positions of breastfeeding
5) Good attachment and poor attachment of child during breastfeeding with a picture
6) Frequency of breastfeeding
7) Q/A on the breastfeeding practices
8) Baby vomiting out milk after breastfeeding
9) Other questions on breastfeeding","Let’s talk about breastfeeding today! I can proide you information on these topics. Please enter the number of the topic you want information on:
1) What is exclusive breastfeeding 
2) Importance of breastfeeding 
3) Various positions of breastfeeding 
4) Pictures that show the various positions of breastfeeding
5) Good attachment and poor attachment of child during breastfeeding with a picture
6) Frequency of breastfeeding
7) Q/A on breastfeeding practices
8) Baby vomiting out milk after breastfeeding
9) Other questions on breastfeeding",
1_3_1_ebfdef,,"Exclusive breastfeeding means that the child takes no additional food, water, or other fluids, starting at birth. (The child can take medicine and vitamins, if needed on medical advice). Breastfeeding is really important for a child's growth and development so even though it can take time to learn how to breastfeed, but don't worry-- you can do it! ⭐","Exclusive breastfeeding means that the child can only be fed breast milk. No additional food, water, or other fluids should be given to the child starting at birth. (The child can take medicine and vitamins, if needed on medical advice). It can take time to learn how to breastfeed, but don't worry-- you can do it! ⭐",
1_3_2_imp,,"Breastfeeding is really important for [child name]'s growth and development, so it's important to keep practicing, even though it might be difficult. Children below 6 months of age should only be given breastmilk as advised by doctors. Anything else, even water might affect the health of your child in an unwanted manner. A mother’s breastmilk has all the necessary nutrients required for the well-being of her child. As soon as [child name] turns six months old, you can start feeding them complementary foods in addition to breastmilk. But remember-- for now, breastmilk is all they need! 😊🤱🏽","Breastfeeding is really important for [child name]'s growth and development, so it's important to keep doing it in the right way, even though it might be difficult. A mother’s breastmilk has all the necessary nutrients required for the well-being of her child. As soon as [child name] turns six months old, you can start feeding them complementary foods in addition to breastmilk. But remember-- up untill the first 6 months from birth, breastmilk is all they should be fed. Anything else, even water might affect the health of your child in an unwanted manner. ! 😊🤱🏽",
1_3_3_pos,,"You should know that the position of the mother is very important. There are different methods of breastfeeding such as the underarm, using the opposite arm and mother in the lying down position. It is really important for the mother to be comfortable while breastfeeding. How about you try these tips? I can check in with you tomorrow to see how it went and answer any questions you might have.","You should know that the position of the mother is very important. There are different methods of breastfeeding such as the underarm, using the opposite arm and mother in the lying down position. It is really important for the mother to be comfortable while breastfeeding. How about you try these tips? I can check in with you tomorrow to see how it went and answer any questions you might have.",
1_3_4_pic ,bf_p1.png,Underarm position! ,Underarm position! ,
1_3_4_pic ,bf_p2.png,Using the opposite arm position! ,Using the opposite arm position! ,
1_3_4_pic ,bf_p3.png,Mother in lying down position!,Mother in lying down position!,
1_3_5_att,bf_attachment.png,"--> your baby takes the whole nipple and a large amount of the areola into his mouth, more towards his chin than his nose
--> your baby’s chin is pressed into your breast and his nose is clear or just touching your breast
--> your baby’s lips are turned out over your breast (not sucked in)
Signs of good attachment include deep and regular sucking, no breast pain or nipple damage, and well-drained breasts.",,
